"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 05:54:16 UTC 2024","Thu Jan 25 05:54:22 UTC 2024","6290","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Jan 25 04:38:48 UTC 2024","Thu Jan 25 04:38:58 UTC 2024","10451","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:33:05 UTC 2024","Thu Jan 25 05:33:08 UTC 2024","2859","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Jan 25 05:32:42 UTC 2024","Thu Jan 25 05:32:57 UTC 2024","14459","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Jan 25 04:37:50 UTC 2024","Thu Jan 25 04:38:29 UTC 2024","38213","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Jan 25 04:42:25 UTC 2024","Thu Jan 25 04:42:26 UTC 2024","415","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Jan 25 05:33:30 UTC 2024","Thu Jan 25 05:33:40 UTC 2024","10232","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Jan 25 04:41:33 UTC 2024","Thu Jan 25 04:41:41 UTC 2024","7750","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Jan 25 05:33:17 UTC 2024","Thu Jan 25 05:33:30 UTC 2024","12912","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Jan 25 05:08:11 UTC 2024","Thu Jan 25 05:08:24 UTC 2024","12361","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:08:24 UTC 2024","Thu Jan 25 05:08:29 UTC 2024","4875","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Jan 25 05:49:33 UTC 2024","Thu Jan 25 05:49:35 UTC 2024","2388","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Jan 25 05:54:31 UTC 2024","Thu Jan 25 05:54:32 UTC 2024","1555","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Jan 25 05:05:45 UTC 2024","Thu Jan 25 05:05:47 UTC 2024","2194","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Jan 25 04:41:16 UTC 2024","Thu Jan 25 04:41:33 UTC 2024","16797","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Jan 25 05:49:23 UTC 2024","Thu Jan 25 05:49:33 UTC 2024","9515","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Jan 25 05:33:12 UTC 2024","Thu Jan 25 05:33:14 UTC 2024","2659","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Jan 25 04:38:29 UTC 2024","Thu Jan 25 04:38:48 UTC 2024","18940","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Jan 25 05:33:40 UTC 2024","Thu Jan 25 05:33:42 UTC 2024","2105","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Jan 25 05:05:47 UTC 2024","Thu Jan 25 05:05:48 UTC 2024","278","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Jan 25 04:39:37 UTC 2024","Thu Jan 25 04:39:40 UTC 2024","2645","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jan 25 05:54:22 UTC 2024","Thu Jan 25 05:54:22 UTC 2024","340","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"skipped","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Jan 25 04:39:14 UTC 2024","Thu Jan 25 04:39:16 UTC 2024","2207","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Jan 25 05:05:48 UTC 2024","Thu Jan 25 05:06:06 UTC 2024","18412","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Jan 25 05:54:22 UTC 2024","Thu Jan 25 05:54:31 UTC 2024","8395","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Jan 25 04:42:23 UTC 2024","Thu Jan 25 04:42:25 UTC 2024","2069","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Jan 25 04:37:31 UTC 2024","Thu Jan 25 04:37:50 UTC 2024","19099","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"failed","Thu Jan 25 05:49:35 UTC 2024","Thu Jan 25 05:52:07 UTC 2024","152492","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Jan 25 04:39:40 UTC 2024","Thu Jan 25 04:39:40 UTC 2024","396","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"broken","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Jan 25 04:42:11 UTC 2024","Thu Jan 25 04:42:14 UTC 2024","2307","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Jan 25 04:44:05 UTC 2024","Thu Jan 25 04:45:15 UTC 2024","69768","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Jan 25 04:46:42 UTC 2024","Thu Jan 25 04:46:59 UTC 2024","17224","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Jan 25 05:30:29 UTC 2024","Thu Jan 25 05:31:11 UTC 2024","41757","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Jan 25 04:42:14 UTC 2024","Thu Jan 25 04:42:23 UTC 2024","9600","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Jan 25 04:41:41 UTC 2024","Thu Jan 25 04:41:46 UTC 2024","5745","","6. Company Account","","","","3. Complete Investment Choice",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"broken","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Jan 25 05:54:02 UTC 2024","Thu Jan 25 05:54:16 UTC 2024","13343","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Thu Jan 25 04:39:16 UTC 2024","Thu Jan 25 04:39:37 UTC 2024","20619","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Jan 25 04:38:58 UTC 2024","Thu Jan 25 04:39:03 UTC 2024","4418","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"skipped","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"broken","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Jan 25 05:54:33 UTC 2024","Thu Jan 25 05:54:34 UTC 2024","910","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Jan 25 05:35:30 UTC 2024","Thu Jan 25 05:39:47 UTC 2024","256966","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Jan 25 05:33:02 UTC 2024","Thu Jan 25 05:33:05 UTC 2024","3650","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Jan 25 05:07:55 UTC 2024","Thu Jan 25 05:08:11 UTC 2024","16527","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Jan 25 04:41:46 UTC 2024","Thu Jan 25 04:41:57 UTC 2024","10381","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:08:29 UTC 2024","Thu Jan 25 05:08:30 UTC 2024","1423","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Jan 25 05:33:14 UTC 2024","Thu Jan 25 05:33:17 UTC 2024","2475","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Jan 25 05:05:29 UTC 2024","Thu Jan 25 05:05:45 UTC 2024","16617","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Jan 25 05:33:08 UTC 2024","Thu Jan 25 05:33:12 UTC 2024","3443","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Jan 25 04:41:57 UTC 2024","Thu Jan 25 04:42:01 UTC 2024","3760","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Jan 25 05:54:32 UTC 2024","Thu Jan 25 05:54:33 UTC 2024","929","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Jan 25 05:35:15 UTC 2024","Thu Jan 25 05:35:30 UTC 2024","15272","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Jan 25 05:32:57 UTC 2024","Thu Jan 25 05:33:01 UTC 2024","4822","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Thu Jan 25 06:50:50 UTC 2024","Thu Jan 25 06:50:50 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:49:11 UTC 2024","Thu Jan 25 05:49:23 UTC 2024","12421","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Jan 25 05:56:11 UTC 2024","Thu Jan 25 05:56:22 UTC 2024","10503","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu Jan 25 05:56:22 UTC 2024","Thu Jan 25 05:56:40 UTC 2024","18604","","21. Forgot password function","","","","2. Reset password",""
